parent_phrase,parent_exact_count,total_group_admissions,n_unique_child_complaints,n_MHH1_psychotic,n_MHC0,pct_MHH1_psychotic,example_child_complaints,most_frequent_child_complaints,suggested_manual_label,include_for_workup_analysis,reviewer_notes
failure to thrive,21,45,25,23,22,51.11111111111111,aockd failure to thrive | cough failure to thrive left upper quadrant abdominal pain | dehydration failure to thrive and mild hypotension | diarrhea failure to thrive | dysphagia nausea vomiting failure to thrive | failure to thrive | failure to thrive and self-care deficiency | failure to thrive anorexia | failure to thrive difficulty with ambulation and concern for unsafe living environment | failure to thrive displaced dobhoff | failure to thrive dysphagia | failure to thrive facility issue | failure to thrive fall | failure to thrive inability to eat dysphagia vomit | failure to thrive persistent tachycardia | failure to thrive poor oral intake back pain | failure to thrive requesting po intake | failure to thrive weakness fall with rib fracture | fall dysphagia failure to thrive | fall leukocytosis failure to thrive,failure to thrive (21) | vomiting failure to thrive (1) | failure to thrive persistent tachycardia (1) | failure to thrive weakness fall with rib fracture (1) | failure to thrive displaced dobhoff (1) | failure to thrive facility issue (1) | failure to thrive difficulty with ambulation and concern for unsafe living environment (1) | cough failure to thrive left upper quadrant abdominal pain (1) | poor oral intake failure to thrive (1) | failure to thrive fall (1) | aockd failure to thrive (1) | hypoxia failure to thrive (1) | failure to thrive requesting po intake (1) | failure to thrive inability to eat dysphagia vomit (1) | fall dysphagia failure to thrive (1) | failure to thrive and self-care deficiency (1) | fall leukocytosis failure to thrive (1) | dehydration failure to thrive and mild hypotension (1) | obstructive jaundice wound dehiscence failure to thrive (1) | failure to thrive poor oral intake back pain (1),,,
foot pain,15,45,10,22,23,48.888888888888886,bilateral foot pain | bilateral foot pain and chest pain | falls weakness and foot pain | foot pain | l foot pain | left foot pain | r foot pain | right foot pain | right foot pain and swelling | right foot pain drainage from tma site,foot pain (15) | right foot pain (11) | left foot pain (8) | r foot pain (4) | l foot pain (2) | bilateral foot pain (1) | falls weakness and foot pain (1) | right foot pain drainage from tma site (1) | bilateral foot pain and chest pain (1) | right foot pain and swelling (1),,,
abdominal pain nausea,10,44,14,21,23,47.72727272727273,abdominal pain nausea | abdominal pain nausea and constipation | abdominal pain nausea and vomiting | abdominal pain nausea transaminitis | abdominal pain nausea vomiting | abdominal pain nausea vomiting and diarrhea | abdominal pain nausea vomiting and diarrhea x1d | abdominal pain nausea vomiting diarrhea | abdominal pain nausea vomiting diarrhea fever | abdominal pain nausea vomiting malaise x3 days | abdominal pain nausea vomiting poor po intake x1 week | abdominal pain nausea vomiting x 3 days | epigastric abdominal pain nausea vomiting diarrhea | fevers abdominal pain nausea vomiting,abdominal pain nausea vomiting (17) | abdominal pain nausea (10) | abdominal pain nausea and vomiting (4) | abdominal pain nausea vomiting diarrhea (3) | abdominal pain nausea transaminitis (1) | abdominal pain nausea vomiting and diarrhea x1d (1) | fevers abdominal pain nausea vomiting (1) | epigastric abdominal pain nausea vomiting diarrhea (1) | abdominal pain nausea vomiting x 3 days (1) | abdominal pain nausea vomiting diarrhea fever (1) | abdominal pain nausea vomiting malaise x3 days (1) | abdominal pain nausea vomiting and diarrhea (1) | abdominal pain nausea vomiting poor po intake x1 week (1) | abdominal pain nausea and constipation (1),,,
right lower,0,43,37,16,27,37.2093023255814,abdominal pain and swelling over right lower quadrant renal allograft | juxtarenal abdominal aneurysm complicated by right lower extremity ischemia due to dissection of the right external iliac artery | nausea vomiting diarrhea dyspnea right lower extremity dvt | non-healing right lower extremity wound | nonhealing right lower extremity ulcers | re-admission for worsening of right lower extremity degloving wound | right dvt of superficial femoral vein right lower extremity cellulitis | right lower abdominal incision with cloudy foul smelling drainage | right lower extermity pain | right lower extremity arterial ulcer | right lower extremity atherosclerosis with nonhealing heel ulcer | right lower extremity cellulitis/phlebitis | right lower extremity dvt | right lower extremity heel ulceration | right lower extremity infected graft site | right lower extremity ischemia with toe gangrene | right lower extremity laceration | right lower extremity pain | right lower extremity pain erythema and swelling | right lower extremity pain swelling erythema with fevers,right lower extremity pain (5) | right lower quadrant abdominal pain (2) | right lower quadrant pain (2) | re-admission for worsening of right lower extremity degloving wound (1) | right lower leg numbness chest pain and visual disturbances (1) | right lower extermity pain (1) | right lower extremity weakness/numbness inability to ambulate (1) | non-healing right lower extremity wound (1) | urinary retention right lower quadrant pain (1) | right lower quadrant pain and decreased appetite since her surgery last month (1) | nausea vomiting diarrhea dyspnea right lower extremity dvt (1) | right lower extremity atherosclerosis with nonhealing heel ulcer (1) | right lower extremity infected graft site (1) | shingles right lower extremity cellulitis (1) | right lower extremity transient numbness (1) | right lower extremity laceration (1) | right lower extremity pain swelling erythema with fevers (1) | abdominal pain and swelling over right lower quadrant renal allograft (1) | right lower extremity radiculopathy weakness numbness (1) | right lower extremity ulcer/cellulitis (1),,,
left lower extremity,0,41,28,19,22,46.34146341463415,abdominal pain left lower extremity dvt | fall left lower extremity pain | fevers with redness and swelling in left lower extremity | left lower extremity cellulitis | left lower extremity edema | left lower extremity edema and pain | left lower extremity edema pain | left lower extremity hallux ulcer/cellulitis | left lower extremity ischemia with claudication | left lower extremity ischemia with ulceration | left lower extremity non-healing ulcers cellulitis | left lower extremity pain | left lower extremity pain -- left multipart intertrochanteric hip fracture | left lower extremity pain and redness | left lower extremity peripheral vascular disease | left lower extremity redness | left lower extremity redness and pain | left lower extremity swelling | left lower extremity swelling chest pain | left lower extremity ulcer,left lower extremity cellulitis (5) | left lower extremity pain (3) | left lower extremity redness (3) | left lower extremity swelling (3) | left lower extremity ischemia with ulceration (2) | left lower extremity ulcer (2) | left lower extremity edema (2) | left lower extremity edema and pain (1) | left lower extremity pain -- left multipart intertrochanteric hip fracture (1) | left lower extremity non-healing ulcers cellulitis (1) | left lower extremity peripheral vascular disease (1) | fall left lower extremity pain (1) | non-healing left lower extremity ulcers (1) | redness swelling and pain in left lower extremity (1) | left lower extremity pain and redness (1) | left lower extremity wound with drainage (1) | left lower extremity edema pain (1) | left lower extremity ischemia with claudication (1) | left lower extremity swelling chest pain (1) | abdominal pain left lower extremity dvt (1),,,
left hip,0,38,12,19,19,50.0,dr cc left hip pain | fall left hip and left flank pain | left hip dislocation | left hip fracture | left hip fracture after mechanical fall | left hip fracture transfer from osh | left hip osteoarthritis | left hip osteoarthritis/pain | left hip pain | left hip pain overlying prominent screw | mechanical fall left hip fracture | unwitnesses fall left hip pain,left hip pain (24) | left hip fracture (3) | left hip osteoarthritis/pain (2) | dr cc left hip pain (1) | mechanical fall left hip fracture (1) | left hip dislocation (1) | left hip pain overlying prominent screw (1) | left hip fracture transfer from osh (1) | unwitnesses fall left hip pain (1) | fall left hip and left flank pain (1) | left hip osteoarthritis (1) | left hip fracture after mechanical fall (1),,,
nausea and vomiting,26,37,9,18,19,48.64864864864865,abdominal pain nausea and vomiting | abdominal pain with nausea and vomiting | fever nausea and vomiting | hypoglycemia with nausea and vomiting | nausea and vomiting | nausea and vomiting abdominal pain | nausea and vomiting for 3 days | nausea and vomiting x3days | transfer from for altered mental status nausea and vomiting,nausea and vomiting (26) | abdominal pain nausea and vomiting (4) | hypoglycemia with nausea and vomiting (1) | abdominal pain with nausea and vomiting (1) | nausea and vomiting x3days (1) | nausea and vomiting abdominal pain (1) | nausea and vomiting for 3 days (1) | transfer from for altered mental status nausea and vomiting (1) | fever nausea and vomiting (1),,,
lower extremity edema,4,35,26,17,18,48.57142857142857,acute on chronic lower extremity edema | bilateral lower extremity edema with diabetic foot ulcers | cellulitis and worsening lower extremity edema | chest pain dyspnea lower extremity edema | difficulty ambulating with bilateral lower extremity edema | dyspnea and lower extremity edema | dyspnea lower extremity edema | dyspnea lower extremity edema weight gain | dyspnea on exertion lower extremity edema | dyspnea weight gain lower extremity edema orthopnea | hyponatremia thrombocytopenia lower extremity edema | left lower extremity edema | left lower extremity edema and pain | left lower extremity edema pain | lower extremity edema | lower extremity edema and chest pain | lower extremity edema shortness of breath | malignant hypertension and worsening of lower extremity edema | severe lower extremity edema | shortness of breath and lower extremity edema,lower extremity edema (4) | shortness of breath lower extremity edema (3) | left lower extremity edema (2) | dyspnea lower extremity edema (2) | dyspnea on exertion lower extremity edema (2) | shortness of breath and lower extremity edema (2) | left lower extremity edema and pain (1) | dyspnea weight gain lower extremity edema orthopnea (1) | lower extremity edema shortness of breath (1) | malignant hypertension and worsening of lower extremity edema (1) | hyponatremia thrombocytopenia lower extremity edema (1) | dyspnea lower extremity edema weight gain (1) | severe lower extremity edema (1) | acute on chronic lower extremity edema (1) | worsening lower extremity edema (1) | cellulitis and worsening lower extremity edema (1) | weight gain lower extremity edema dyspnea on exertion (1) | lower extremity edema and chest pain (1) | difficulty ambulating with bilateral lower extremity edema (1) | chest pain dyspnea lower extremity edema (1),,,
quadrant pain,0,33,15,15,18,45.45454545454545,chest pain right upper quadrant pain | cough right upper quadrant pain | left lower quadrant pain | left upper quadrant pain | left upper quadrant pain lymphadenopathy | right lower quadrant pain | right lower quadrant pain and decreased appetite since her surgery last month | right lower quadrant pain and nausea | right lower quadrant pain hypertensive urgency | right upper quadrant pain | right upper quadrant pain elevated lft s | right upper quadrant pain hematemesis | right upper quadrant pain post-ercp | urinary retention right lower quadrant pain | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial,right upper quadrant pain (17) | left lower quadrant pain (2) | right lower quadrant pain (2) | urinary retention right lower quadrant pain (1) | right lower quadrant pain and decreased appetite since her surgery last month (1) | right upper quadrant pain post-ercp (1) | right upper quadrant pain hematemesis (1) | left upper quadrant pain (1) | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial (1) | right lower quadrant pain hypertensive urgency (1) | right lower quadrant pain and nausea (1) | right upper quadrant pain elevated lft s (1) | chest pain right upper quadrant pain (1) | cough right upper quadrant pain (1) | left upper quadrant pain lymphadenopathy (1),,,
right foot,0,32,19,15,17,46.875,cellulitis right foot | cold right foot | hypotension hypoglycemia chronic right foot wound | ischemic gangrene right foot | ischemic right foot | osteomyelitis right foot | right foot cellulitis | right foot digit ulcer | right foot infection osteomyelitis | right foot pain | right foot pain and swelling | right foot pain drainage from tma site | right foot pin tract infection | right foot pruritis | right foot ulcer | right foot ulceration osteomyelitis | right foot ulceration right calcaneus fracture osteomyelitis | right foot wound infection | third digit ulceration right foot,right foot pain (11) | right foot ulcer (3) | right foot ulceration right calcaneus fracture osteomyelitis (2) | right foot cellulitis (1) | right foot pruritis (1) | third digit ulceration right foot (1) | ischemic right foot (1) | osteomyelitis right foot (1) | right foot pin tract infection (1) | right foot pain drainage from tma site (1) | right foot digit ulcer (1) | cold right foot (1) | ischemic gangrene right foot (1) | right foot ulceration osteomyelitis (1) | cellulitis right foot (1) | right foot wound infection (1) | right foot pain and swelling (1) | hypotension hypoglycemia chronic right foot wound (1) | right foot infection osteomyelitis (1),,,
right lower extremity,0,31,27,10,21,32.25806451612903,juxtarenal abdominal aneurysm complicated by right lower extremity ischemia due to dissection of the right external iliac artery | nausea vomiting diarrhea dyspnea right lower extremity dvt | non-healing right lower extremity wound | nonhealing right lower extremity ulcers | re-admission for worsening of right lower extremity degloving wound | right dvt of superficial femoral vein right lower extremity cellulitis | right lower extremity arterial ulcer | right lower extremity atherosclerosis with nonhealing heel ulcer | right lower extremity cellulitis/phlebitis | right lower extremity dvt | right lower extremity heel ulceration | right lower extremity infected graft site | right lower extremity ischemia with toe gangrene | right lower extremity laceration | right lower extremity pain | right lower extremity pain erythema and swelling | right lower extremity pain swelling erythema with fevers | right lower extremity radiculopathy weakness numbness | right lower extremity stump infection | right lower extremity swelling chest pain and recent falls,right lower extremity pain (5) | re-admission for worsening of right lower extremity degloving wound (1) | right lower extremity weakness/numbness inability to ambulate (1) | non-healing right lower extremity wound (1) | nausea vomiting diarrhea dyspnea right lower extremity dvt (1) | right lower extremity atherosclerosis with nonhealing heel ulcer (1) | right lower extremity infected graft site (1) | shingles right lower extremity cellulitis (1) | right lower extremity transient numbness (1) | right lower extremity laceration (1) | right lower extremity pain swelling erythema with fevers (1) | right lower extremity radiculopathy weakness numbness (1) | right lower extremity ulcer/cellulitis (1) | right lower extremity dvt (1) | right dvt of superficial femoral vein right lower extremity cellulitis (1) | juxtarenal abdominal aneurysm complicated by right lower extremity ischemia due to dissection of the right external iliac artery (1) | right lower extremity heel ulceration (1) | right lower extremity cellulitis/phlebitis (1) | right lower extremity ischemia with toe gangrene (1) | right lower extremity weakness and vertigo (1),,,
renal failure,4,30,23,11,19,36.666666666666664,abdominal pain a/w diarrhea acute renal failure | acute on chronic renal failure | acute renal failure | acute renal failure anemia | acute renal failure hematuria | acute renal failure hyperkalemia | acute renal failure sub-therapeutic inr abdominal pain hemetemesis | acute renal failure urinary tract infection ileus | acute renal failure vomiting | anemia renal failure | anemia thrombocytopenia renal failure | confusion acute renal failure | diarrhea weight loss acute renal failure | hyperkalemia acute on chronic renal failure | hyperkalemia urosepsis acute on chronic renal failure | mental status changes acute renal failure elevated inr | new diagnosis of lymphoplasmocytic lymphoma and renal failure | referral from pcp for worsening renal failure | renal failure | transfer from osh for pancreatitis dka and renal failure,renal failure (4) | acute on chronic renal failure (2) | volume overload acute renal failure (2) | worsening renal failure (2) | acute renal failure (2) | acute renal failure anemia (1) | mental status changes acute renal failure elevated inr (1) | acute renal failure sub-therapeutic inr abdominal pain hemetemesis (1) | acute renal failure urinary tract infection ileus (1) | hyperkalemia urosepsis acute on chronic renal failure (1) | referral from pcp for worsening renal failure (1) | abdominal pain a/w diarrhea acute renal failure (1) | acute renal failure hematuria (1) | transfer from osh for pancreatitis dka and renal failure (1) | anemia thrombocytopenia renal failure (1) | acute renal failure hyperkalemia (1) | anemia renal failure (1) | confusion acute renal failure (1) | acute renal failure vomiting (1) | diarrhea weight loss acute renal failure (1),,,
lower extremity swelling,13,29,13,14,15,48.275862068965516,bilateral lower extremity swelling | dyspnea lower extremity swelling | joint pains lower extremity swelling | left lower extremity swelling | left lower extremity swelling chest pain | lower extremity swelling | lower extremity swelling and erythema | lower extremity swelling cellulitis lymphedema | lower extremity swelling pain | lower extremity swelling shortness of breath | right lower extremity swelling chest pain and recent falls | shortness of breath lower extremity swelling | worsened lower extremity swelling increased dyspnea of exertion swollen left breast and increased left upper extremity swelling,lower extremity swelling (13) | bilateral lower extremity swelling (3) | left lower extremity swelling (3) | joint pains lower extremity swelling (1) | worsened lower extremity swelling increased dyspnea of exertion swollen left breast and increased left upper extremity swelling (1) | lower extremity swelling shortness of breath (1) | lower extremity swelling pain (1) | lower extremity swelling cellulitis lymphedema (1) | dyspnea lower extremity swelling (1) | left lower extremity swelling chest pain (1) | lower extremity swelling and erythema (1) | shortness of breath lower extremity swelling (1) | right lower extremity swelling chest pain and recent falls (1),,,
nausea vomiting diarrhea,8,29,16,15,14,51.724137931034484,- nausea vomiting diarrhea myalgias | abdominal pain nausea vomiting diarrhea | abdominal pain nausea vomiting diarrhea fever | admit with low grade fever nausea vomiting diarrhea | admitted with nausea vomiting diarrhea | chest pain nausea vomiting diarrhea | epigastric abdominal pain nausea vomiting diarrhea | fever nausea vomiting diarrhea | nausea vomiting diarrhea | nausea vomiting diarrhea abdominal pain | nausea vomiting diarrhea acute on chronic kidney injury | nausea vomiting diarrhea and extreme fatigue for the past week | nausea vomiting diarrhea and lightheadedness | nausea vomiting diarrhea anorexia abdominal pain | nausea vomiting diarrhea dyspnea right lower extremity dvt | nausea vomiting diarrhea fever,nausea vomiting diarrhea (8) | nausea vomiting diarrhea abdominal pain (4) | abdominal pain nausea vomiting diarrhea (3) | fever nausea vomiting diarrhea (2) | - nausea vomiting diarrhea myalgias (1) | nausea vomiting diarrhea anorexia abdominal pain (1) | epigastric abdominal pain nausea vomiting diarrhea (1) | nausea vomiting diarrhea fever (1) | nausea vomiting diarrhea dyspnea right lower extremity dvt (1) | admitted with nausea vomiting diarrhea (1) | admit with low grade fever nausea vomiting diarrhea (1) | abdominal pain nausea vomiting diarrhea fever (1) | nausea vomiting diarrhea acute on chronic kidney injury (1) | nausea vomiting diarrhea and lightheadedness (1) | nausea vomiting diarrhea and extreme fatigue for the past week (1) | chest pain nausea vomiting diarrhea (1),,,
gastrointestinal bleed,18,28,8,14,14,50.0,abdominal pain gastrointestinal bleed | gastrointestinal bleed | gastrointestinal bleed and hypotension | gastrointestinal bleed bright red blood per rectum | gastrointestinal bleed hypotension | lower gastrointestinal bleed | pancreatitis and gastrointestinal bleed | shoulder pain gastrointestinal bleed,gastrointestinal bleed (18) | abdominal pain gastrointestinal bleed (2) | lower gastrointestinal bleed (2) | gastrointestinal bleed bright red blood per rectum (2) | gastrointestinal bleed and hypotension (1) | shoulder pain gastrointestinal bleed (1) | pancreatitis and gastrointestinal bleed (1) | gastrointestinal bleed hypotension (1),,,
abdominal pain nausea vomiting,17,28,10,13,15,46.42857142857143,abdominal pain nausea vomiting | abdominal pain nausea vomiting and diarrhea | abdominal pain nausea vomiting and diarrhea x1d | abdominal pain nausea vomiting diarrhea | abdominal pain nausea vomiting diarrhea fever | abdominal pain nausea vomiting malaise x3 days | abdominal pain nausea vomiting poor po intake x1 week | abdominal pain nausea vomiting x 3 days | epigastric abdominal pain nausea vomiting diarrhea | fevers abdominal pain nausea vomiting,abdominal pain nausea vomiting (17) | abdominal pain nausea vomiting diarrhea (3) | abdominal pain nausea vomiting and diarrhea x1d (1) | fevers abdominal pain nausea vomiting (1) | epigastric abdominal pain nausea vomiting diarrhea (1) | abdominal pain nausea vomiting x 3 days (1) | abdominal pain nausea vomiting diarrhea fever (1) | abdominal pain nausea vomiting malaise x3 days (1) | abdominal pain nausea vomiting and diarrhea (1) | abdominal pain nausea vomiting poor po intake x1 week (1),,,
neck pain,13,28,16,12,16,42.857142857142854,chest pain and neck pain | fever diarrhea headache neck pain | head and neck pain | headache and neck pain with known chiari 1 malformation | headache neck pain | left facial numbness pain and neck pain | left side neck pain | neck pain | neck pain - transfer for concern of mediastinal abscess | neck pain and l triceps weakness after c7 superior articular facet fracture sustained in motor vehicle collision also with c2 anterior ring fracture | neck pain c2 and c5 fracture | neck pain chest pain | neck pain fall | neck pain rij dvt | neck pain secondary to cervical stenosis | neck pain with radiation to right elbow,neck pain (13) | left side neck pain (1) | neck pain rij dvt (1) | neck pain - transfer for concern of mediastinal abscess (1) | headache and neck pain with known chiari 1 malformation (1) | neck pain and l triceps weakness after c7 superior articular facet fracture sustained in motor vehicle collision also with c2 anterior ring fracture (1) | neck pain with radiation to right elbow (1) | fever diarrhea headache neck pain (1) | neck pain secondary to cervical stenosis (1) | head and neck pain (1) | left facial numbness pain and neck pain (1) | headache neck pain (1) | chest pain and neck pain (1) | neck pain c2 and c5 fracture (1) | neck pain chest pain (1) | neck pain fall (1),,,
respiratory failure,4,28,14,14,14,50.0,acute on chronic respiratory failure | acute respiratory failure | acute severe necrotizing pancreatitis shock respiratory failure | fevers hypoxemic respiratory failure | hypercarbic respiratory failure | hypoxemic respiratory failure | hypoxic respiratory failure | hypoxic respiratory failure requiring bipap | hypoxic respiratory failure secondary to aspiration | osh transfer for respiratory failure | respiratory failure | stemi hypotension respiratory failure | transfer for management of possible sepsis and hypercarbic respiratory failure | transfer from sicu to micu for hypoxic respiratory failure ards,hypercarbic respiratory failure (7) | hypoxic respiratory failure (4) | respiratory failure (4) | hypoxemic respiratory failure (3) | transfer for management of possible sepsis and hypercarbic respiratory failure (1) | osh transfer for respiratory failure (1) | hypoxic respiratory failure requiring bipap (1) | hypoxic respiratory failure secondary to aspiration (1) | acute respiratory failure (1) | fevers hypoxemic respiratory failure (1) | acute severe necrotizing pancreatitis shock respiratory failure (1) | transfer from sicu to micu for hypoxic respiratory failure ards (1) | stemi hypotension respiratory failure (1) | acute on chronic respiratory failure (1),,,
knee pain,2,28,15,10,18,35.714285714285715,bilateral knee pain redness and swelling at pacer site | fall knee pain urinary frequency | falls/right knee pain | fevers chills knee pain | hospitalist admission note left knee pain fever dysuria rigors pcp | hypotension and left knee pain | knee pain | knee pain difficulty walking | l knee pain | left knee pain | left knee pain stiffness | r knee pain | right knee pain | right knee pain and fever | right knee pain and swelling,right knee pain (6) | left knee pain (6) | r knee pain (2) | knee pain (2) | l knee pain (2) | fall knee pain urinary frequency (1) | falls/right knee pain (1) | right knee pain and swelling (1) | knee pain difficulty walking (1) | fevers chills knee pain (1) | hospitalist admission note left knee pain fever dysuria rigors pcp (1) | left knee pain stiffness (1) | right knee pain and fever (1) | hypotension and left knee pain (1) | bilateral knee pain redness and swelling at pacer site (1),,,
left sided,0,28,18,12,16,42.857142857142854,dysarthria left sided weakness | fever nausea vomiting left sided flank pain dysuria | left sided chest pain and nausea vomiting | left sided eye droop and seeing black dots in your left eye | left sided headache bilateral lower extremity weakness | left sided pain | left sided paresthesia abdominal pain and shortness of breath | left sided rib pain shortness of breath | left sided weakness | left sided weakness and difficulty speaking | left sided weakness and left facial droop | left sided weakness and numbness | left sided weakness and shaking | left sided weakness and slurred speech | left sided weakness apart from normal | left sided weakness aphasia | recurrent left sided intercostal thoracic hernia | vertigo and left sided weakness,left sided weakness (10) | left sided weakness and numbness (2) | left sided rib pain shortness of breath (1) | left sided weakness apart from normal (1) | left sided weakness and shaking (1) | left sided pain (1) | recurrent left sided intercostal thoracic hernia (1) | left sided weakness and difficulty speaking (1) | left sided paresthesia abdominal pain and shortness of breath (1) | left sided eye droop and seeing black dots in your left eye (1) | left sided weakness and left facial droop (1) | left sided weakness aphasia (1) | vertigo and left sided weakness (1) | fever nausea vomiting left sided flank pain dysuria (1) | left sided weakness and slurred speech (1) | left sided headache bilateral lower extremity weakness (1) | dysarthria left sided weakness (1) | left sided chest pain and nausea vomiting (1),,,
right leg,0,28,20,12,16,42.857142857142854,cold right leg | dizziness right leg weakness | ischemic right leg failed femoral-popliteal bypass graft | right leg cellulitis | right leg erythema and edema | right leg erythema and pain | right leg infection gluteal abscesses | right leg pain and swelling | right leg pain and warmth | right leg redness swelling pain | right leg swelling | right leg swelling and erythema | right leg swelling and infection | right leg swelling and pain | right leg swelling pain | right leg weakness | right leg weakness slowed speech | right leg wound | shortness of breath right leg pain | slurred speech right leg weakness,right leg swelling (5) | right leg cellulitis (3) | right leg swelling and pain (3) | right leg infection gluteal abscesses (1) | shortness of breath right leg pain (1) | right leg pain and warmth (1) | cold right leg (1) | right leg swelling and infection (1) | slurred speech right leg weakness (1) | right leg weakness slowed speech (1) | right leg weakness (1) | right leg erythema and pain (1) | right leg pain and swelling (1) | dizziness right leg weakness (1) | right leg wound (1) | right leg swelling and erythema (1) | right leg redness swelling pain (1) | right leg swelling pain (1) | right leg erythema and edema (1) | ischemic right leg failed femoral-popliteal bypass graft (1),,,
right upper quadrant,0,28,10,13,15,46.42857142857143,chest pain right upper quadrant pain | cough right chest pain right upper quadrant abdominal pain | cough right upper quadrant pain | right upper quadrant abdominal pain | right upper quadrant abdominal pain rigors nausea diarrhea | right upper quadrant pain | right upper quadrant pain elevated lft s | right upper quadrant pain hematemesis | right upper quadrant pain post-ercp | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial,right upper quadrant pain (17) | right upper quadrant abdominal pain (3) | right upper quadrant pain post-ercp (1) | right upper quadrant pain hematemesis (1) | cough right chest pain right upper quadrant abdominal pain (1) | right upper quadrant abdominal pain rigors nausea diarrhea (1) | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial (1) | right upper quadrant pain elevated lft s (1) | chest pain right upper quadrant pain (1) | cough right upper quadrant pain (1),,,
upper extremity,0,28,24,14,14,50.0,bilateral upper extremity extensive soft tissue wounds dog attack | bilateral upper extremity numbness and tingling | bleeding from left upper extremity av graft following dialysis | bleeding/ulceration from right upper extremity avg | clotted right upper extremity av graft | esrd right upper extremity brachio-brachial fistula | fever right upper extremity swelling pain redness | infected left upper extremity av graft | left upper extremity av graft thrombus | left upper extremity fistula thrombus | left upper extremity swelling | left upper extremity ulcer at arteriovenous fistula site | right upper extremity av graft thrombosis | right upper extremity fistula ulcer | right upper extremity numbness | right upper extremity radiculopathy | right upper extremity swelling | right upper extremity swelling pain | right upper extremity thrombosed fistula | right upper extremity weakness dyspnea,right upper extremity numbness (3) | thrombosed left upper extremity av graft (2) | right upper extremity swelling (2) | bilateral upper extremity numbness and tingling (1) | thrombosed right upper extremity avg (1) | worsened lower extremity swelling increased dyspnea of exertion swollen left breast and increased left upper extremity swelling (1) | right upper extremity fistula ulcer (1) | thrombosed right upper extremity av graft (1) | left upper extremity av graft thrombus (1) | right upper extremity av graft thrombosis (1) | right upper extremity weakness dyspnea (1) | left upper extremity fistula thrombus (1) | right upper extremity swelling pain (1) | left upper extremity ulcer at arteriovenous fistula site (1) | fever right upper extremity swelling pain redness (1) | clotted right upper extremity av graft (1) | infected left upper extremity av graft (1) | right upper extremity radiculopathy (1) | bilateral upper extremity extensive soft tissue wounds dog attack (1) | right upper extremity thrombosed fistula (1),,,
left hip pain,24,27,4,14,13,51.85185185185185,dr cc left hip pain | left hip pain | left hip pain overlying prominent screw | unwitnesses fall left hip pain,left hip pain (24) | dr cc left hip pain (1) | left hip pain overlying prominent screw (1) | unwitnesses fall left hip pain (1),,,
left leg pain,14,27,14,14,13,51.85185185185185,abdominal pain and left leg pain | abdominal pain left leg pain | chest pain left leg pain | fall from standing left leg pain | fall left leg pain | fever left leg pain x 10 days | left leg pain | left leg pain after fall | left leg pain and back pain | left leg pain fall | left leg pain rash | left rib pain left leg pain | low back pain and left leg pain | persistent left leg pain,left leg pain (14) | chest pain left leg pain (1) | abdominal pain left leg pain (1) | abdominal pain and left leg pain (1) | fever left leg pain x 10 days (1) | left leg pain fall (1) | persistent left leg pain (1) | fall from standing left leg pain (1) | left leg pain and back pain (1) | left leg pain rash (1) | low back pain and left leg pain (1) | fall left leg pain (1) | left rib pain left leg pain (1) | left leg pain after fall (1),,,
fever cough,10,25,12,10,15,40.0,fatigue fever cough | fever cough | fever cough and diarrhea i have abdominal pain and i have the shakes | fever cough body aches | fever cough chest pain | fever cough dyspnea | fever cough hemoptysis | fever cough lethargy | fever cough malaise | fever cough shortness of breath | fever cough weakness confusion | vomitting fever cough,fever cough (10) | fever cough shortness of breath (3) | fever cough dyspnea (2) | fever cough chest pain (2) | fever cough weakness confusion (1) | vomitting fever cough (1) | fever cough and diarrhea i have abdominal pain and i have the shakes (1) | fatigue fever cough (1) | fever cough lethargy (1) | fever cough hemoptysis (1) | fever cough malaise (1) | fever cough body aches (1),,,
arm pain,2,25,14,12,13,48.0,arm pain | arm pain abdominal pain | arm pain and swelling | arm pain and weakness | chest pain arm pain | chest pain bilateral arm pain | chest pain left arm pain | difficulty ambulating hearing loss arm pain | headache chest pain abdominal pain back pain arm pain leg pain | l arm pain | left arm pain | left arm pain and swelling | right arm pain | right arm pain right hip pain weakness and fever,right arm pain (6) | left arm pain (4) | arm pain (2) | l arm pain (2) | chest pain left arm pain (2) | difficulty ambulating hearing loss arm pain (1) | headache chest pain abdominal pain back pain arm pain leg pain (1) | arm pain abdominal pain (1) | right arm pain right hip pain weakness and fever (1) | arm pain and weakness (1) | chest pain bilateral arm pain (1) | chest pain arm pain (1) | left arm pain and swelling (1) | arm pain and swelling (1),,,
